title,author,reviewer,paid review?,editor (internal use),genre,"Author Diversity (1=yes, 0=no)","Gender (1=woman, 0=man)",reviewer link,reviewer ID,isbn,oclc,hide_ibooks,book_seamus_id,tags,genre (internal use),text
George,Alex Gino,Lisa Yee,1,Beth,,,,,,,,,,,,
Interstellar Cinderella ,"Deborah Underwood, Meg Hunt",Lisa Yee,1,Beth,,,1,,,,,,,,,
The Little Gardener,Emily Hughes,Lisa Yee,1,Beth,,,1,,,,,,,,,
Toys Meet Snow,"Emily Jenkins, Paul O. Zelinsky",Lisa Yee,1,Beth,,,,,,,,,,,,
Yard Sale,"Eve Bunting, Lauren Castillo",Lisa Yee,1,Beth,,,1,,,,,,,,,
The Bear Ate Your Sandwich,Julia Sarcone-Roach,Lisa Yee,1,Beth,,,1,,,,,,,,,
The Truth About Twinkie Pie,Kat Yeh,Lisa Yee,1,Beth,,,1,,,,,,,,,
Ellie,Mike Wu,Lisa Yee,1,Beth,,,0,,,,,,,,,
Echo,Pam Munoz Ryan,Lisa Yee,1,Beth,,,1,,,,,,,,,
The Whisper,Pamela Zagarenski,Lisa Yee,1,Beth,,,1,,,,,,,,,
Your Alien,"Tammi Sauer, Goro Fujita",Lisa Yee,1,Beth,,,,,,,,,,,,
Home,Carson Ellis,Margaret H. Willison,1,Beth,,,0,,,,,,,,,
A Tour of Bones: Facing Fear and Looking for Life,Denise Inge ,Maureen Corrigan,1,Beth,,,1,,,,,,,,,
The Story of the Lost Child,Elena Ferrante,Maureen Corrigan,1,Beth,,,1,,,,,,,,,
Bettyville: A Memoir,George Hodgman,Maureen Corrigan,1,Beth,,,0,,,,,,,,,
Rogue Lawyer,John Grisham,Maureen Corrigan,1,Beth,,,0,,,,,,,,,
The Buried Giant: A novel,Kazuo Ishiguro,Maureen Corrigan,1,Beth,,,0,,,,,,,,,
A Manual for Cleaning Women: Selected Stories,Lucia Berlin,Maureen Corrigan,1,Beth,,,1,,,,,,,,,
The Crossing,Michael Connelly,Maureen Corrigan,1,Beth,,,0,,,,,,,,,
"The Witches: Salem, 1692",Stacy Schiff,Maureen Corrigan,1,Beth,,,1,,,,,,,,,
The Turner House,Angela Flournoy,Barrie Hardymon?,1,Rose?,,,1,,,,,,,,,
The Speechwriter: A Brief Education in Politics,Barton Swaim,Philipp Goedicke,1,Beth,,,,,,,,,,,,
